,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
1,5.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0
2,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,3.0
3,4.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0
4,4.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,5.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0
7,5.0,5.0,5.0,2.0,1.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0
10,5.0,2.0,3.0,1.0,1.0,5.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,2.0
11,5.0,5.0,1.0,3.0,2.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0
12,4.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,3.0
13,5.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
14,5.0,1.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0
15,3.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0
16,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0
17,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
18,2.0,1.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0
19,2.0,1.0,4.0,5.0,5.0,2.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0
20,1.0,1.0,2.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0
21,4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0
22,5.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,1.0,1.0,4.0
23,5.0,5.0,4.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0
24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
25,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0
26,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0
27,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0
28,4.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,2.0
29,5.0,5.0,4.0,2.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0
30,4.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,5.0,2.0,5.0,2.0,1.0,3.0
31,5.0,1.0,4.0,2.0,1.0,5.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0
32,4.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0
33,5.0,5.0,2.0,1.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,5.0,3.0
34,4.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0
35,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
36,4.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0
