,Dataset,Model,Correlation,p-value,L1 Loss
0,BIG5,Best Model,0.408972,2.4e-05,1.04
1,BIG5,Best Model,0.636283,0.0,0.9
2,BIG5,Best Model,0.57678,0.0,0.95
3,BIG5,Best Model,0.423933,1.1e-05,0.8
4,BIG5,Best Model,0.133519,0.18539,0.8
5,BIG5,Best Model,0.314398,0.001444,1.21
6,BIG5,Best Model,0.476224,1e-06,0.79
7,BIG5,Best Model,0.114761,0.255563,0.9
8,BIG5,Best Model,0.662422,0.0,0.76
9,BIG5,Best Model,0.241869,0.015334,1.01
10,BIG5,Best Model,0.450267,3e-06,0.71
11,BIG5,Best Model,0.436342,6e-06,0.74
12,BIG5,Best Model,0.042333,0.675802,0.84
13,BIG5,Best Model,0.422653,1.2e-05,0.99
14,BIG5,Best Model,0.398687,4e-05,0.84
15,BIG5,Best Model,0.749994,0.0,0.81
16,BIG5,Best Model,0.326117,0.000929,0.78
17,BIG5,Best Model,0.411029,2.2e-05,1.09
18,BIG5,Best Model,0.153791,0.126592,1.06
19,BIG5,Best Model,0.412958,2e-05,0.58
20,BIG5,Best Model,-0.142489,0.157302,1.37
21,BIG5,Best Model,0.486326,0.0,0.76
22,BIG5,Best Model,0.334699,0.000665,0.98
23,BIG5,Best Model,0.111487,0.269463,1.16
24,BIG5,Best Model,0.58714,0.0,0.9
25,BIG5,Best Model,0.390702,5.8e-05,1.13
26,BIG5,Best Model,0.423491,1.1e-05,1.02
27,BIG5,Best Model,0.53514,0.0,0.98
28,BIG5,Best Model,0.57605,0.0,0.91
29,BIG5,Best Model,0.540324,0.0,0.89
30,BIG5,Best Model,0.375362,0.000119,1.06
31,BIG5,Best Model,0.50672,0.0,0.73
32,BIG5,Best Model,0.484346,0.0,0.82
33,BIG5,Best Model,0.292467,0.00315,1.17
34,BIG5,Best Model,0.244284,0.014311,1.14
35,BIG5,Best Model,0.639106,0.0,0.79
36,BIG5,Best Model,0.623064,0.0,0.97
37,BIG5,Best Model,0.438848,5e-06,0.87
38,BIG5,Best Model,0.319531,0.001193,0.8
39,BIG5,Best Model,0.506377,0.0,1.08
40,BIG5,Best Model,0.444129,4e-06,0.53
41,BIG5,Best Model,0.67666,0.0,0.73
42,BIG5,Best Model,0.723772,0.0,0.66
43,BIG5,Best Model,0.45319,2e-06,1.16
44,BIG5,Best Model,0.726538,0.0,0.8
45,BIG5,Best Model,0.289619,0.00347,0.73
46,BIG5,Best Model,0.273504,0.005899,1.09
