,constructs
q1,1.0
q2,1.0
q3,1.0
q4,1.0
q5,4.0
q6,2.0
q7,5.0
q8,3.0
q9,2.0
q10,2.0
q11,3.0
q12,5.0
q13,1.0
q14,1.0
q15,4.0
q16,1.0
q17,1.0
q18,3.0
q19,1.0
q20,4.0
q21,2.0
q22,1.0
q23,1.0
q24,1.0
q25,1.0
q26,5.0
q27,1.0
q28,4.0
q29,3.0
q30,4.0
q31,2.0
q32,1.0
q33,3.0
q34,1.0
q35,4.0
q36,1.0
q37,1.0
q38,3.0
q39,3.0
q40,5.0
q41,3.0
q42,3.0
q43,1.0
q44,1.0
q45,2.0
q46,3.0
q47,1.0
q48,3.0
q49,1.0
q50,1.0
q51,1.0
q52,2.0
q53,1.0
q54,3.0
q55,2.0
q56,1.0
q57,4.0
q58,3.0
q59,1.0
q60,5.0
q61,1.0
q62,3.0
q63,3.0
q64,1.0
q65,4.0
q66,3.0
q67,5.0
q68,3.0
q69,4.0
q70,3.0
q71,1.0
q72,3.0
q73,1.0
q74,1.0
q75,3.0
q76,3.0
q77,5.0
q78,3.0
q79,2.0
q80,1.0
q81,5.0
q82,3.0
q83,1.0
q84,1.0
q85,1.0
q86,1.0
q87,1.0
q88,1.0
q89,5.0
q90,1.0
q91,1.0
q92,2.0
q93,5.0
q94,1.0
q95,4.0
q96,1.0
q97,2.0
q98,1.0
q99,1.0
q100,5.0
