,constructs
q1,3.0
q2,2.0
q3,1.0
q4,1.0
q5,4.0
q6,4.0
q7,5.0
q8,5.0
q9,5.0
q10,2.0
q11,5.0
q12,5.0
q13,5.0
q14,3.0
q15,4.0
q16,1.0
q17,5.0
q18,1.0
q19,5.0
q20,4.0
q21,3.0
q22,2.0
q23,5.0
q24,3.0
q25,2.0
q26,1.0
q27,3.0
q28,4.0
q29,1.0
q30,4.0
q31,2.0
q32,3.0
q33,4.0
q34,1.0
q35,4.0
q36,3.0
q37,5.0
q38,3.0
q39,1.0
q40,1.0
q41,3.0
q42,3.0
q43,5.0
q44,1.0
q45,2.0
q46,4.0
q47,5.0
q48,3.0
q49,3.0
q50,5.0
q51,1.0
q52,2.0
q53,4.0
q54,1.0
q55,2.0
q56,1.0
q57,2.0
q58,5.0
q59,3.0
q60,2.0
q61,3.0
q62,3.0
q63,1.0
q64,1.0
q65,4.0
q66,2.0
q67,5.0
q68,3.0
q69,4.0
q70,4.0
q71,1.0
q72,1.0
q73,1.0
q74,1.0
q75,3.0
q76,3.0
q77,1.0
q78,1.0
q79,2.0
q80,3.0
q81,5.0
q82,4.0
q83,2.0
q84,4.0
q85,1.0
q86,4.0
q87,3.0
q88,4.0
q89,5.0
q90,2.0
q91,3.0
q92,2.0
q93,3.0
q94,3.0
q95,4.0
q96,2.0
q97,2.0
q98,2.0
q99,4.0
q100,1.0
