,constructs
q1,1.0
q2,5.0
q3,3.0
q4,1.0
q5,4.0
q6,1.0
q7,1.0
q8,4.0
q9,3.0
q10,5.0
q11,5.0
q12,5.0
q13,4.0
q14,3.0
q15,5.0
q16,5.0
q17,5.0
q18,2.0
q19,5.0
q20,4.0
q21,5.0
q22,2.0
q23,2.0
q24,1.0
q25,2.0
q26,2.0
q27,3.0
q28,4.0
q29,4.0
q30,5.0
q31,4.0
q32,3.0
q33,3.0
q34,3.0
q35,4.0
q36,3.0
q37,5.0
q38,5.0
q39,1.0
q40,5.0
q41,4.0
q42,2.0
q43,3.0
q44,2.0
q45,2.0
q46,2.0
q47,5.0
q48,4.0
q49,2.0
q50,5.0
q51,2.0
q52,2.0
q53,3.0
q54,1.0
q55,4.0
q56,4.0
q57,5.0
q58,4.0
q59,3.0
q60,5.0
q61,1.0
q62,4.0
q63,3.0
q64,1.0
q65,4.0
q66,2.0
q67,5.0
q68,5.0
q69,2.0
q70,5.0
q71,1.0
q72,4.0
q73,4.0
q74,1.0
q75,5.0
q76,2.0
q77,5.0
q78,3.0
q79,2.0
q80,3.0
q81,4.0
q82,5.0
q83,5.0
q84,3.0
q85,3.0
q86,2.0
q87,3.0
q88,3.0
q89,5.0
q90,5.0
q91,3.0
q92,2.0
q93,4.0
q94,2.0
q95,4.0
q96,2.0
q97,5.0
q98,3.0
q99,5.0
q100,5.0
