question-id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Q1,0.0,0.0,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.25,0.0,0.0833333333333333,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.583333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.166666666666667,0.0,0.0833333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0,0.0833333333333333,0.0833333333333333,0.0,1.0
Q10,0.0833333333333334,0.125,0.0833333333333334,0.166666666666667,0.0,0.0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.0,0.0416666666666667,0.0,0.375,0.0416666666666667,0.0833333333333334,0.0833333333333334,0.0416666666666667,0.0833333333333334,0.0,0.0833333333333334,0.0,0.0,0.208333333333333,0.0,0.5416666666666671,0.0,0.0,0.0,0.125,0.125,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0833333333333334,0.0,0.0833333333333334,0.0833333333333334,0.0,0.125,0.166666666666667,0.166666666666667,0.0,0.0416666666666667,0.0,0.0416666666666667,0.0,0.0416666666666667,0.0,0.0,0.208333333333333,0.0,0.0416666666666667,0.25,0.0,1.0
Q11,0.0,0.0454545454545455,0.22727272727272702,0.136363636363636,0.0,0.0,0.0,0.0,0.09090909090909101,0.0,0.0454545454545455,0.0,0.22727272727272702,0.0,0.136363636363636,0.136363636363636,0.0,0.0454545454545455,0.0,0.0,0.0,0.0,0.09090909090909101,0.0,0.590909090909092,0.0,0.0454545454545455,0.0,0.0454545454545455,0.0,0.09090909090909101,0.136363636363636,0.0454545454545455,0.0,0.0,0.0454545454545455,0.0,0.0,0.0454545454545455,0.09090909090909101,0.0,0.0454545454545455,0.0454545454545455,0.18181818181818202,0.0,0.09090909090909101,0.0,0.0454545454545455,0.0,0.0,0.136363636363636,0.0,0.09090909090909101,0.0,0.09090909090909101,0.22727272727272702,0.0,1.0
Q12,0.04,0.08,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.28,0.08,0.08,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.44,0.0,0.04,0.0,0.12,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.08,0.04,0.12,0.16,0.16,0.04,0.04,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.04,0.16,0.0,1.0
Q13,0.0,0.0909090909090909,0.0,0.18181818181818202,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.45454545454545403,0.0,0.0909090909090909,0.0,0.18181818181818202,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.18181818181818202,0.0,0.18181818181818202,0.0909090909090909,0.18181818181818202,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,1.0
Q14,0.0,0.0625,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.4375,0.0625,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.125,0.1875,0.1875,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0,1.0
Q15,0.0,0.0526315789473684,0.0526315789473684,0.10526315789473699,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,0.0,0.21052631578947398,0.10526315789473699,0.157894736842105,0.10526315789473699,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.10526315789473699,0.0,0.631578947368421,0.0,0.0,0.0,0.0526315789473684,0.0,0.0526315789473684,0.10526315789473699,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.21052631578947398,0.157894736842105,0.0,0.21052631578947398,0.0,0.0,0.0,0.0,0.10526315789473699,0.10526315789473699,0.10526315789473699,0.0,0.0526315789473684,0.10526315789473699,0.0,1.0
Q16,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.18181818181818202,0.0,0.6363636363636359,0.0,0.0909090909090909,0.0,0.18181818181818202,0.0,0.0,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.18181818181818202,0.18181818181818202,0.272727272727273,0.0,0.272727272727273,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.272727272727273,0.0,1.0
Q17,0.0,0.0,0.0909090909090909,0.18181818181818202,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.18181818181818202,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818202,0.0,0.545454545454545,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.18181818181818202,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.18181818181818202,0.0,0.0909090909090909,0.18181818181818202,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.18181818181818202,0.0,0.18181818181818202,0.0,0.0909090909090909,0.18181818181818202,0.0,1.0
Q18,0.0434782608695652,0.0434782608695652,0.0,0.130434782608696,0.0,0.0,0.0,0.0434782608695652,0.0869565217391304,0.0,0.0434782608695652,0.0,0.21739130434782603,0.0,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0,0.0434782608695652,0.0,0.0,0.17391304347826098,0.0,0.608695652173913,0.0,0.0,0.0,0.21739130434782603,0.0869565217391304,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.21739130434782603,0.21739130434782603,0.260869565217391,0.0,0.0434782608695652,0.0,0.0,0.0,0.0434782608695652,0.0,0.0434782608695652,0.0869565217391304,0.0,0.0,0.21739130434782603,0.0434782608695652,1.0
